"","id","lat_dec","lng_dec"
"250","CC-0105-T1-H",19.3205833333333,-99.22275
"251","CC-0688-T1-H",19.4027777777778,-99.1966388888889
"252","CC-0211-T1-H",19.3155833333333,-99.2307777777778
"253","CC-0272-T1-H",19.2867777777778,-99.2323611111111
"254","CC-0496-T1-H",19.3462777777778,-99.2256944444444
"255","CC-0578-T1-H",19.3554166666667,-99.2045277777778
"256","CC-0356-T1-H",19.3996111111111,-99.2108333333333
"257","CC-0537-T1-H",19.32375,-99.2434722222222
"258","CC-0664-T1-H",19.3467222222222,-99.2230277777778
"259","CC-0737-T1-H",19.3250555555556,-99.2631388888889
"260","CC-0532-T1-H",19.3599166666667,-99.23925
"261","CC-0266-T1-H",19.3956388888889,-99.2171666666667
"262","CC-0452-T1-H",19.3467777777778,-99.224
"263","CC-0171-T1-H",19.3656111111111,-99.2021111111111
"264","CC-0097-T1-H",19.3699166666667,-99.2169444444445
"265","CC-0267-T1-H",19.2770277777778,-99.2321111111111
"266","CC-0812-T1-H",19.3240833333333,-99.2453888888889
"267","CC-0688-T1-H",19.4027777777778,-99.1966388888889
"268","CC-0266-T1-H",19.3956388888889,-99.2171666666667
"269","CC-0192-T1-H",19.3291666666667,-99.2458333333333
"270","CC-0533-T1-H",19.426,-99.1473333333333
"271","CC-0569-T1-H",19.3786666666667,-99.2167222222222
"272","CC-0805-T1-H",19.3144722222222,-99.2655833333333
"273","CC-0727-T1-H",19.28725,-99.2324166666667
"274","CC-0040-T1-H",19.3393888888889,-99.1969444444445
"275","CC-0621-T1-H",19.3595,-99.2426666666667
"276","CC-0689-T1-H",19.5888055555556,-99.1913333333333
"277","CC-0803-T1-H",19.3703611111111,-99.2229444444445
"278","CC-0211-T1-H",19.3155833333333,-99.2307777777778
"279","CC-0342-T1-H",19.2553055555556,-99.1833055555556
"280","CC-0746-T1-H",19.2962777777778,-99.1693333333333
"281","CC-0702-T1-H",19.3306388888889,-99.2941666666667
"282","CC-0384-T1-H",19.3640833333333,-99.2009444444444
"283","CC-0410-T1-H",19.6500555555556,-99.1013611111111
"284","CC-0788-T1-H",19.6500555555556,-99.1013611111111
"285","CC-0650-T1-H",19.6002222222222,-99.29125
"286","CC-0467-T1-H",19.3481111111111,-99.2173333333333
"287","CC-0783-T1-H",19.3416388888889,-99.2068611111111
"288","CC-0806-T1-H",19.4047777777778,-99.1813611111111
"289","CC-0649-T1-H",19.3595,-99.2444444444444
"290","CC-0471-T1-H",19.3561388888889,-99.2315277777778
"291","CC-0529-T1-H",19.4028333333333,-99.2015277777778
"292","CC-0381-T1-H",19.3431388888889,-99.2124722222222
"293","CC-0588-T1-H",19.3501111111111,-99.2244166666667
"294","CC-0816-T1-H",19.3791388888889,-99.2381944444444
"295","CC-0536-T1-H",19.3513333333333,-99.2385555555555
"296","CC-0594-T1-H",19.3554166666667,-99.23875
"297","CC-0422-T1-H",19.3808888888889,-99.2458333333333
"298","CC-0820-T1-H",19.3584444444444,-99.1749444444444
"299","CC-0819-T1-H",19.6214166666667,-98.9239444444444
